variable,etiqueta,beta_hombres,se_hombres,beta_mujeres,se_mujeres,diferencia,z_diff
log_horas_w,log(horas) — elasticidad,0.45515675378295667,0.010082260881223173,0.551352404350655,0.008259068501226256,-0.09619565056769835,-7.380818246565051
anios_escolaridad,Años de escolaridad,0.03882378099713199,0.0010420057556108921,0.05060644907034068,0.0013575828011503398,-0.011782668073208692,-6.884909917669425
experiencia,Experiencia,0.01925585477357645,0.0008467789479400214,0.013771777075624552,0.0009792380404772762,0.005484077697951896,4.23617743246338
experiencia2,Experiencia²,-0.00031093380628607886,1.705083336928119e-05,-0.0002115012560117221,1.9752436855414775e-05,-9.943255027435675e-05,-3.8105722678434226
subordinado_i,Es asalariado,-0.23598686669853686,0.007610126297419978,-0.3642562256323254,0.009186864113189258,0.12826935893378855,10.752300879076563
