variable,etiqueta,beta_sin_heckman,se_sin_heckman,beta_con_heckman,se_con_heckman,cambio
log_horas_w,log(horas),0.5392773524204882,0.008413472329177312,0.5389332913199139,0.008422018414802966,-0.00034406110057438877
anios_escolaridad,Escolaridad,0.021261160869643015,0.0019525556808618544,0.02109553872400883,0.001996711939382243,-0.00016562214563418595
experiencia,Experiencia,0.014602758699686287,0.0010006101844743215,0.014162147017730761,0.0012208229967907262,-0.0004406116819555255
experiencia2,Experiencia²,-0.0003113067940124213,2.0729746795512465e-05,-0.0003018330450724363,2.4926079546748303e-05,9.47374893998503e-06
subordinado_i,Subordinada,-0.44165005706979105,0.010133236384167176,-0.4412780663786397,0.010115486787018887,0.0003719906911513471
Intercept,Intercept,7.117229689842751,0.061929258977462244,7.132700185390189,0.06727257182376285,0.01547049554743829
