iter,brecha_log,explicado,no_explicado,aporte_horas,aporte_composicion
0,0.3177219779948146,0.1586417188313849,0.15908025916342794,0.15145545658797693,0.0071862622434079645
1,0.32175199126768916,0.16081220476106725,0.16093978650662163,0.1562857702325402,0.004526434528527076
2,0.3211631043534062,0.16349757091061087,0.15766553344279421,0.16007420862644792,0.0034233622841629736
3,0.30074116640190596,0.146291047921439,0.15445011848046725,0.15418360820844226,-0.00789256028700323
4,0.3296491026617776,0.16166410377504295,0.1679849988867341,0.15174796294289014,0.009916140832152838
5,0.32740441522535413,0.16227065157581416,0.16513376364953725,0.157554461856,0.004716189719814147
6,0.307580693623585,0.15103102564492807,0.1565496679786551,0.15562728312084995,-0.00459625747592189
7,0.3218190343457934,0.15547645036580224,0.1663425839799929,0.15650408885067116,-0.0010276384848689063
8,0.3248909347932205,0.16586066076977543,0.15903027402344555,0.16064183830463802,0.00521882246513738
9,0.3099502528102356,0.15262697790382554,0.15732327490641285,0.15494096633667243,-0.002313988432846893
10,0.32030526826758177,0.1605026525709489,0.15980261569663387,0.15938427343633124,0.001118379134617641
11,0.3043510242823384,0.1446032573925596,0.15974776688977654,0.1551905905163213,-0.010587333123761682
12,0.319113630759464,0.15443000191673856,0.16468362884272686,0.15666313067995613,-0.002233128763217577
13,0.31242228982002196,0.1569131596488476,0.15550913017117396,0.1590670440009131,-0.002153884352065469
14,0.3101161239268322,0.15321926575869838,0.156896858168134,0.15503815781014807,-0.0018188920514497038
15,0.3059514004341839,0.1498856919508626,0.1560657084833179,0.1536183394443455,-0.0037326474934828964
16,0.3273269540154047,0.16269544585862336,0.16463150815677946,0.15231077910701224,0.010384666751611125
17,0.32189899415583767,0.16557518990418163,0.15632380425165876,0.16331320143451178,0.0022619884696698338
18,0.3189396696138065,0.1625728676599781,0.1563668019538293,0.1593486800151378,0.0032241876448403425
19,0.31818829625379585,0.15446664942374733,0.1637216468300482,0.15590723058965583,-0.0014405811659084916
20,0.33186716720502396,0.16644450029019223,0.1654226669148331,0.15679904337551206,0.009645456914680165
21,0.31618791377637656,0.15151879209262492,0.16466912168374956,0.15599542540177258,-0.00447663330914769
22,0.30610490873152685,0.15186950453785927,0.15423540419366938,0.15568928213049366,-0.003819777592634346
23,0.32114299614514685,0.15677811918647352,0.16436487695867208,0.15507116749412556,0.001706951692347974
24,0.31440075808022705,0.15776705561815754,0.15663370246206576,0.15411700739512213,0.003650048223035397
25,0.3158862539126801,0.15523972244663833,0.16064653146604102,0.1569889525752298,-0.001749230128591464
26,0.3210639694053157,0.16367432277056213,0.1573896466347544,0.15480921149173157,0.008865111278830575
27,0.3100781406898605,0.15530527549331738,0.154772865196542,0.15482019166114475,0.00048508383217264056
28,0.31654237148225484,0.15457563442583844,0.16196673705641956,0.15311424397454537,0.0014613904512930896
29,0.31539471867088054,0.16401651922859933,0.15137819944228115,0.16073692695878503,0.003279592269814318
30,0.30712687298088603,0.15255946488718367,0.15456740809370045,0.15281944198112238,-0.00025997709393873157
31,0.3091266459185533,0.14688077758737494,0.16224586833117793,0.15014453131857877,-0.003263753731203794
32,0.30841921125130334,0.15501195610007268,0.15340725515122952,0.1600695432588022,-0.005057587158729539
33,0.31133563278938325,0.16048550249788085,0.1508501302915014,0.15609807312571583,0.004387429372164995
34,0.3081858539464797,0.1522551130932294,0.15593074085325126,0.15303684829208114,-0.0007817351988517428
35,0.3301225820685669,0.16684642951387765,0.1632761525546882,0.16225169290935726,0.0045947366045203785
36,0.31515329795253777,0.15596931730096283,0.15918398065157352,0.15697906676408813,-0.0010097494631253184
37,0.3025277464222178,0.1504868795279532,0.1520408668942626,0.1491769164718056,0.0013099630561476542
38,0.31802667518728356,0.1598825594090693,0.15814411577821363,0.15944191208527478,0.0004406473237945352
39,0.31091352874631717,0.1572539669729059,0.15365956177341028,0.15773907834813186,-0.0004851113752259318
40,0.3180692338295259,0.1512328696360009,0.16683636419352874,0.14541941442966122,0.005813455206339687
41,0.3301399070047619,0.16149308665384265,0.16864682035091896,0.15195794395646015,0.009535142697382497
42,0.31909585834143783,0.15473582317641005,0.16436003516502914,0.1552869974191765,-0.0005511742427664491
43,0.30594160782116475,0.15786954448643367,0.1480720633347311,0.15416836690339486,0.003701177583038822
44,0.30860226601406815,0.15247824202197932,0.15612402399208947,0.148361097995984,0.004117144025995341
45,0.31784286952773044,0.15541401097248939,0.16242885855523936,0.15569526145147625,-0.00028125047898686
46,0.3225573252238956,0.16000180459249624,0.16255552063139853,0.15751516655777292,0.0024866380347232913
47,0.3261700249317947,0.1596901705675547,0.16647985436423923,0.15515125677884034,0.004538913788714374
48,0.32601204421934327,0.16356330122209703,0.1624487429972461,0.1601792996619131,0.0033840015601839402
49,0.2897161809917641,0.139332325488906,0.15038385550285926,0.1472378424570657,-0.0079055169681597
50,0.3148721117512512,0.155477027205321,0.1593950845459296,0.1571278476654498,-0.0016508204601288021
51,0.31833403394793613,0.16020505482161201,0.15812897912632223,0.1580504104394823,0.002154644382129676
52,0.32683147802605284,0.16153897864684633,0.16529249937920343,0.15820179151360783,0.0033371871332385176
53,0.3186224716471582,0.1613034558490275,0.15731901579812949,0.15850848853517235,0.0027949673138551335
54,0.32163361455958217,0.160822836938564,0.16081077762101653,0.15835394649767187,0.002468890440892168
55,0.31757015024621715,0.15185876844774368,0.16571138179847467,0.15011578818124854,0.0017429802664951548
56,0.3205981205218791,0.15887753887197933,0.16172058164990047,0.15430039195114845,0.0045771469208308905
57,0.313850120443135,0.15981695768992132,0.15403316275321496,0.15764938522943794,0.0021675724604833593
58,0.3110744033160433,0.15059293256043518,0.16048147075560815,0.1498224281969561,0.0007705043634791062
59,0.33212301907079933,0.1707731136521917,0.16134990541860744,0.16747961463281597,0.003293499019375732
0,0.3159623324487253,0.15364818692707505,0.16231414552165252,0.15494732001302516,-0.0012991330859501403
1,0.3170013955384281,0.16152287941064483,0.15547851612778554,0.16452155584865935,-0.0029986764380145097
2,0.3265242594189264,0.16492814995334512,0.1615961094655829,0.15525080578305336,0.009677344170291764
3,0.3194491883439863,0.15598726110549455,0.16346192723849054,0.1532632259746698,0.0027240351308247613
4,0.3093602646787037,0.15229068142834495,0.15706958325036033,0.16070037359516434,-0.00840969216681942
5,0.3092804327303593,0.15293214696055502,0.15634828576980134,0.15655356663170497,-0.0036214196711499783
6,0.31999476688814354,0.15808266028846474,0.16191210659967809,0.15397005934034824,0.004112600948116562
7,0.3159402603153776,0.15801097156258367,0.15792928875279488,0.15690964609374464,0.0011013254688390824
8,0.3130175771481962,0.15535346322935292,0.15766411391884416,0.1545973352056717,0.0007561280236812115
9,0.3077509790593389,0.15481570461420524,0.15293527444513158,0.1514580903237703,0.003357614290434894
10,0.32078446808350414,0.1583395947928733,0.1624448732906288,0.15291345435829412,0.0054261404345791525
11,0.3153319884608674,0.15568162115325188,0.1596503673076161,0.15326338220272426,0.0024182389505276267
12,0.31823958481629155,0.1597962066007315,0.15844337821555987,0.15372551014883112,0.006070696451900403
13,0.32106351194290284,0.15623468331351376,0.16482882862938708,0.1530404045068107,0.003194278806703048
14,0.31069312838656593,0.15560787403719484,0.15508525434936993,0.15590184064087553,-0.0002939666036806954
15,0.3196360864422303,0.15650069401016045,0.1631353924320706,0.156373536765148,0.00012715724501245404
16,0.32767810666732977,0.17041774961648926,0.15726035705084,0.15917456470231262,0.011243184914176621
17,0.30136306544898517,0.15142200549402068,0.1499410599549665,0.15424670981181401,-0.0028247043177933246
18,0.32868084814706755,0.17042808376583835,0.15825276438123215,0.16478784265417237,0.005640241111665974
19,0.3102021139141655,0.1550713992620354,0.15513071465213057,0.15444668822324376,0.0006247110387915897
20,0.31914708359432,0.15279349720002253,0.1663535863942995,0.15387044193622032,-0.001076944736197778
21,0.3029975282510673,0.15078804930035478,0.15220947895071263,0.15201422250826788,-0.0012261732079131143
22,0.3105837891386294,0.15166195864613494,0.15892183049249523,0.15394469760651486,-0.0022827389603799495
23,0.31930480906656733,0.16161299407780602,0.15769181498876195,0.16030875526602179,0.0013042388117842432
24,0.29346164749586734,0.14523032396176166,0.14823132353410198,0.15181281768832086,-0.006582493726559189
25,0.310178456997912,0.15095390371144826,0.15922455328646493,0.15078641027428155,0.00016749343716675538
26,0.31287824065475434,0.1543180609815365,0.15856017967321848,0.15057149711553827,0.0037465638659982016
27,0.3176780916947788,0.1561491705294248,0.16152892116535428,0.15696297582316499,-0.0008138052937401866
28,0.32304285373984243,0.1610353813331543,0.16200747240668795,0.15513928706132907,0.0058960942718252075
29,0.319851330955915,0.1577232880044213,0.16212804295149175,0.15530190469958907,0.0024213833048323105
30,0.3153316192486635,0.1492088224393097,0.16612279680935316,0.14946415038362407,-0.0002553279443143642
31,0.31940086583704996,0.15837525394925417,0.16102561188779588,0.15536116506295972,0.003014088886294444
32,0.3258292707455084,0.16241504235068,0.16341422839482822,0.1590856465025206,0.003329395848159408
33,0.32278555005241216,0.1650857951354354,0.1576997549169753,0.1570321120373528,0.00805368309808261
34,0.30781417835003033,0.14631881881064396,0.16149535953938715,0.15018932088787826,-0.0038705020772342967
35,0.334253525674443,0.16815811608482542,0.1660954095896185,0.16167936090601842,0.006478755178806977
36,0.31223912358203165,0.15336750415049452,0.1588716194315366,0.15742385438217257,-0.004056350231678056
37,0.31891194053661387,0.1596992096159799,0.15921273092063498,0.15944378132184325,0.0002554282941366632
38,0.32089212834016934,0.15975886364568265,0.1611332646944861,0.15896435916258544,0.0007945044830972043
39,0.30582115565538714,0.1527847528531887,0.1530364028022006,0.15253635457562648,0.00024839827756226174
40,0.3143896823366994,0.1500465660111348,0.1643431163255598,0.1510779494184767,-0.001031383407341914
41,0.3116870175156947,0.15603873769298404,0.15564827982271318,0.16004189130447843,-0.004003153611494413
42,0.3286402009130942,0.16572933190864444,0.16291086900445034,0.15854118631944006,0.007188145589204385
43,0.31957381802294726,0.15457316570325852,0.16500065231968766,0.156187262066454,-0.0016140963631954709
44,0.3134947214485191,0.1493437206728553,0.16415100077566444,0.1490387746567787,0.00030494601607659096
